Title,Newspaper,Date,Section,Body,Policy Narrative,Unit of Analysis,Hero,Villain,Victim,Beneficiary,Ally,Opponent,Ineffective,Setting,Plot,Moral,Moral Description,Belief System,Narrative Strategy
Lucknow again breathing in 'very poor' air,The Times of India (TOI),11/28/2018,LUCKNOW,"LUCKNOW: After fall in air pollution levels for two consecutive days, there was a sharp increase in air toxicity on Monday. The sharp rise saw city's air quality dropping from 'poor' to 'very poor' category. The exposure to such air can lead to respiratory problems in people.Track the pollution level in your cityAccording to the data released by Central Pollution Control Board (CPCB), the Air Quality Index (AQI) was recorded at 373 on Monday, around 100 units more than Sunday. Lucknow was third most polluted city in the country after Patna and Ghaziabad with AQIs of 408 and 398, respectively. The city was more polluted than Delhi where the AQI was 336. Lalbagh was the most polluted area with PM2.5 concentration of 324.6 micrograms per unit of air.Area around Lucknow University was the least polluted in the city as per the air quality monitoring station of LU.""The sharp increase in air pollution is due to minimum temperatures coming down to around 10 degree Celsius. Low temperatures do not allow the particulate matter to disperse. The situation is likely to worsen in the coming days when temperatures will fall further,"" said, director, air quality monitoring station, Lucknow University, Prof Dhruv Sen Singh. For Reprint Rights: timescontent.com

Load-Date: November 27, 2018",1,Document,Central Pollution Control Board (CPCB),temperatures coming down,0,0,director of air quality monitoring station at Lucknow University Prof Dhruv Sen Singh,0,0,Lucknow,Warning Tale,Implicit Policy Reference,Status of air pollution given,0,0
"'Severe' pollution to return, days to get colder, hazier",The Times of India (TOI),11-04-2018,GURGAON,"GURUGRAM: With wind speed picking up, Gurugram's air quality index (AQI) improved to 336 on Saturday, still 'very poor' but better than the 'severe' levels the city experienced for three days in a row earlier in the week. It may, however, increase to 'severe' level from Monday again. The maximum and minimum temperatures are, meanwhile, likely to fall by up to five degrees in the next three to four days.Officials of Haryana State Pollution Control Board (HSPCB) said stringent measures taken by authorities reduced air pollution levels. 
""Due to meteorological factors and strict implementation of GRAP steps, the city has witnessed a drop in pollution levels. Now, the AQI is in the 'very poor' category. The situation is expected to improve on Sunday,"" an official of HSPCB told TOI.Track the pollution level in your cityWhile Ghaziabad was the least polluted city with AQI at 325, Noida and Delhi reported AQI at 333 and 340, respectively. Faridabad and Greater Noida, on the other hand, reported AQI at 359 and 341, respectively.According to officials of the Central Pollution Control Board (CPCB), though the air quality is expected to improve further on Sunday, it may be in 'severe' category on Monday. The AQI on Sunday is likely to remain between 360 and 370.Bhure Lal from Environment Pollution (Prevention and Control) Authority, however, blamed NCR cities for causing pollution in Delhi. ""There is an urgent need for authorities in NCR cities, including Gurgaon, to ensure all measures under GRAP are implemented effectively,"" he said.Met officials, meanwhile, attributed the improvement in air quality to a western disturbance. Temperatures, they said, are likely to fall in the next three to four days in Gurugram, with the minimum temperature, currently at 18 degrees, likely to come down to 13. In a statement, Regional Weather Forecasting Centre said under the influence of the western disturbance, the ""atmosphere is likely to be unstable over the region, which would result in mixing of the pollutants and improved air quality till November 5.""Officials said that mornings are likely to get mistier while shallow fog is expected to remain. 87 challans issued in pollution crackdownSince November 1, MCG has issued 87 challans, which translates to Rs 5.75 lakh in fines, for polluting activities. The corporation issued two challans worth Rs 15,000 for open burning of garbage, 44 challans worth Rs 3.55 lakh for construction activities and 24 challans to those transporting construction material without covering it. The remaining challans were issued for open dumping of construction waste.FIR for garbage burning in openMCG on Friday lodged a complaint against two companies for burning garbage in the open. Sanitation inspector Bijender Sharma was on patrol duty when he spotted a person burning garbage near a private school in Sector 76. ""The culprit fled but we found that the garbage was from two companies,"" said Sharma. An FIR has been registered against the companies under IPC sections 273 and 188 at the Kherki Daula police station. For Reprint Rights: timescontent.com

Load-Date: November 3, 2018",1,Document,"authorities, western disturbance","NCR Cities, burning garbage, construction activities",0,0,"Haryana State Pollution Control Board (HSPCB), Sanitation inspector Bijender Sharma",Construction Companies,0,National Capital Region,Story of Decline,Explicit Policy Solution,GRAP implemented,Hierarchist,Mechanical
Lessons from a green oasis for a city that can't breathe,The Times of India (TOI),11-12-2018,DELHI,"New Delhi: With much of the focus on Delhi's pollution hotspots at Anand Vihar and the industrial areas of Narela, Bawana, Mundka and Jahangirpuri, the air quality monitoring station at Institute of Human Behaviour and Allied Sciences in Dilshad Garden has not got much attention. It should, because when most other monitoring stations recorded the air quality as ""very poor"" or ""severe"" in October, this one indicated an oasis with the air only in the ""moderate"" or ""poor"" category. In fact, there was only a single ""very poor"" day recorded in October. 
Even in November, while air pollution has spiked alarmingly across Delhi, repeatedly entering the ""severe"" zone, IHBAS has remained an exception, even though it has flirted with the danger mark on a couple of days. On November 11, the IHBAS station showed an AQI of 361.3 at 9pm against an overall figure of 470.4 for Delhi. A look at where this air quality monitoring station is located might explain the seeming anomaly. The Central Pollution Control Board (CPCB) set this up among greenery, and when TOI visited the site, the PM2.5 reading displayed on the board outside was as low as 68 micrograms per cubic metre at a time when the city's average was 200 micrograms. This place had close to the safe standard of 60 micrograms of PM2.5.While Delhi's average AQI reading for October was over 250, the average at the IHBAS station was just under 160. The station also recorded seven ""satisfactory"" days when the AQI dipped below 100.Experts say the station is a good indicator of what can happen when you have greenery around your house or a tree buffer capable of trapping pollutants and dust. ""The effect of the greenery shows that pollution can be controlled and reduced. This is also an indicator of the difference in air quality in a park and a busy intersection with a lot of traffic,"" said Anumita Roy Chowdhury, executive director, research and advocacy, Centre for Science and Environment.Chowdhury also said that Delhi now had a good mix of locations for the monitoring stations and this would help agencies track the hotspots. ""We now have monitors in green locations, on roadsides, in industrial areas, even in residential colonies. The readings for each station can help us take localised response measures,"" she explained.Arun Sharma, professor at the University College of Medical Sciences in Dilshad Garden, pointed out that the greenery at IHBAS was not the only factor for the low readings. This was also because of low vehicular and industrial emissions at the spot. ""The entire area is green, but there's very little vehicular traffic and almost no industries in the area,"" noted Sharma. ""These result in the good air quality. All these factors can help people determine how to create a low-pollution area."" For Reprint Rights: timescontent.com

Load-Date: November 16, 2018",1,Document,greenery,vehicular and industrial emissions,0,0,"Anumita Roy Chowdhury executive director research and advocacy Centre for Science and Environment, Arun Sharma",0,0,Delhi,Story of Helplessness and Control,Implicit Policy Reference,Greenery can help with pollution,Traditionalist,Mobilization of Support
"Delhi: Little change in pollution despite SC push, 310 arrests for bursting crackers",The Times of India (TOI),11-09-2018,DELHI,"NEW DELHI: Tradition trumped law and concern over air pollution as a large number of Delhiites openly defied the Supreme Court's guidelines and celebrated Diwali on Wednesday by bursting traditional firecrackers despite a major crackdown.Track the pollution level in your cityWhile reports suggested fewer crackers were burst this year than in 2017, air quality the day after Diwali was almost as bad. The average AQI recorded on Thursday was 390, at ""very poor"" level bordering on ""severe"" and just 13 notches below last year's post-Diwali level (403). CPCB said early morning pollution post-Diwali this year was higher than last year's level.In a first for the capital, police registered 634 cases and arrested 310 people for bursting crackers. The crackdown, however, failed to deter people. Some 2,776kg of banned crackers were seized on Diwali while being clandestinely sold or supplied in some areas.However, this was just a tenth of the crackers burst across the city on the festive night, according to estimates. 
Most violators were caught bursting crackers in gated colonies or outside their houses on the basis of complaints by residents. Most of the complaints were received from west and southwest Delhi, while the maximum number of cases were registered in outer Delhi.Delhi's air quality on Diwali day oscillated between ""poor"" and ""very poor"" as authorities warned of severe rise in pollution even if the fireworks were contained at 50% of last year's level. On Thursday morning, most air quality monitoring stations across the city had ""very poor"" to ""severe"" air quality.Last year, Delhi had an air quality index of 319 on Diwali day, which falls in the very poor category on Diwali. However, this was much better than 2016 when AQI on Diwali was 431 in severe levels and 343 in 2015. In the wee hours of the day after Diwali 2017, the AQI for Delhi was 340. In 2016, the AQI of the day after was 445 while in 2015 it was 360. This year, it stood at 390.Showing vastly different AQI levels than the central pollution board, government's pollution research body, SAFAR, said the AQI in Delhi on Thursday was ""severe plus"" with a reading of over 500. This was worse than last year's post-Diwali day but better than the levels in 2016.""Air quality index entered severe category at 2am early morning on November 8 and will remain severe until late evening of November 11. However, air quality is recovering from afternoon and likely to touch very poor range by night, provided no additional local emissions are added. The contribution of PM 2.5 in PM 10 has increased from 50% (normal) to 70% last night, indicating increased share of locally generated pyrotechnic emissions,"" said SAFAR in a report on Thursday.According to Central Pollution Control Board officials, significant drop in temperature of about 8 degree C, reduced wind speed especially during night were two important factors that might have contributed to delayed dispersion because of which higher PM concentration values are reported during night hours.""The average mixing height on Diwali day in 2017 and 2018 was in similar range (400-600 m). The average wind speed was also similar (1.6 m/sec) in both the years but the wind speed decreased to 0.8m/sec on Diwali night... Wind direction was from northwest which might have added pollutant load from stubble burning,"" a CPCB official said.The contribution of stubble burning in overall PM2.5 concentration during Diwali this year has been estimated as 10% by IITM.""More active fire incidences have been reported this year on Diwali (4,203) compared to Diwali of 2017 (1,702). Particulate levels started increasing since 9pm on November 7, and remained quite high during night. The areas represented by monitoring stations at Ashok Vihar, Jahangirpur, Nehru Nagar, Okhla phase II, Rohini, Vivek Vihar and Wazirpur recorded very high particulate values during 11pm to 6am. This may be due to unfavourable conditions coupled with pollutants generated from fireworks,"" the CPCB said, adding that particulate concentrations were slightly higher this year as compared to 2017.Jahangirpuri, arguably one of the most polluted spots in Delhi, had the highest PM10 reading at 4,499 microgram per cubic metre, according to the Delhi Pollution Control Committee real-time monitoring at 11pm and was the highest across DPCC stations on Diwali night. Wazirpur, at 1am, saw PM2.5, the finer particulate matter, touching an astronomically high 4,659 microgram per cubic metre, the highest across all DPCC stations this Diwali. The permissible limit of PM10 and PM2.5 are 100 and 60 microgram per cubic metre. For Reprint Rights: timescontent.com

Load-Date: November 8, 2018",1,Document,Supreme Court,"traditional firecrackers, Delhiites, Residents, stubble burning",Residents,0,"Police, Central Pollution Controal Board, Delhi Pollution Control Board, SAFAR",0,0,Delhi,Stymied Progress,Explicit Policy Solution,crackers banned but implementation weak,Hierarchist,Devil Shift
Exotic orchids turn stress-busters,The Times of India (TOI),11/13/2018,BENGALURU,"BENGALURU : Orchids - with their varied shapes, colours and fragrances - are turning out to be stress-busters for Bengalureans who return home after a hectic day at work and long commute on traffic stricken roads.Many visitors at the sixth edition of the orchid show held at Lalbagh Botanical Gardens on Sunday shared these views with TOI.Shubashini N, a resident of BTM Layout and software professional, said these exotic plants relieve her of office tension in addition to enhancing the beauty of her home. ""These plants are affordable and have long shelf life. Some can be kept for six months to three years, based on how you maintain it,"" she added.Nancy Fernandes and her sister Jane Pinto, who live in Fraser Town, said the city's polluted air depresses them. 
""But orchids help us get over it; they bring clean air to the house,"" they added. Encyclia, dendrobium, cymbidium, cycnoches, cattleya and several other species were sold at the show at prices ranging from Rs 400 to Rs 2,000.Feel of positivityThough the horticulture department doesn't maintain any data on cultivation of orchids in the state, Sadananda Hegde, president of The Orchid Society of Karnataka (TOSKAR), says the demand for orchids has increased over the past five years in Bengaluru. ""Compared to the response we received at the first orchid show in 2012, this year we saw almost 40% more business. Also, the number of people taking up orchid business is growing. Earlier, a majority of exhibitors was from Kerala, but now we see entrepreneurs from Bengaluru and other parts of Karnataka,"" he added. The orchid society had just four members to start with in 2005 and the number has now grown to650. According to Hegde, many startups in the city are also exploring the potential of orchid business.Mamta Bargale, director and co-founder of Enticing Flowers Pvt Ltd, said they courier orchids across the country. ""When we started selling orchids six years ago, the demand was low. But now we see a lot of Bengalureans who want orchids at home for a 'positive feel'. We have expanded cultivation and outlets over the last few years,"" she added.Though orchid cultivation is yet to thrive as an industry, the growers feel there is a huge demand. Dr SV Hattimani, retired additional director of horticulture department, said various species of orchids are grown in Malnad and coastal regions. Kerala is doing well with orchid cultivation and Karnataka too has a lot of scope, but there's less awareness. For Reprint Rights: timescontent.com

Load-Date: November 16, 2018",1,Document,"orchids, orchid businesses",0,residents,0,"The Orchid Society of Karnataka (TOSKAR), Enticing Flowers Pvt Ltd",0,0,Bengaluru,Restoration,Implicit Policy Reference,Orchids help clean air,Traditionalist,Mobilization of Support
Sharp rise in patients with breathing problems this week,The Times of India (TOI),11-10-2018,GURGAON,"GURUGRAM: There is a 50% rise in number of patients reporting to the city's hospitals with ailments and allergies related to increase in air pollution, which further worsened after fire crackers were burst on Diwali. Though the Supreme Court had fixed a two-hour window between 8-10 pm for bursting only green firecrackers on Diwali, both directives were openly flouted in Gurugram on Wednesday. Track the pollution level in your cityDr Kajal Kumud, physician at Civil Hospital, said, ""There was a 50% increase in patient footfall, especially of those with breathing problems including asthma, at the hospital in the past week. 
On Thursday, there was a long queue of patients who complained of running nose, burning eyes, wheezing, repeated cough, etc, mainly due to inhaling air polluted with emission from firecrackers.""New patients are coming up with adult onset asthma, which earlier was earlier a rarity, he added. This condition occurs when adults above 20 years of age are diagnosed with asthma for the first time. ""Besides witnessing patients with exacerbation in chronic obstructive pulmonary disease and asthma, many new patients with adult onset asthma, which was a rarity before, are coming to us. Elderly people were affected the most by higher air and noise pollution, which has aggravated respiratory and auditory problems,"" said Dr Arunesh Kumar, senior consultant, pulmonology, Paras Hospital.Kumar added that despite the Supreme Court guidelines for Diwali, air quality index (AQI) in Delhi-NCR crossed the 900 mark with dangerously high PM2.5 levels, which is hazardous to health. He said he expects further rise in cases of pulmonary infections and other problems like skin allergies and eye infections.""Dr Neetu Talwar, paediatric pulmonologist at Fortis Memorial Research Institute, said, ""Pollution in winters has worsened. Respiratory problems in children and risks of viral illnesses is higher, as they are more vulnerable and go to schools or daycare or crches, where transmission between children increases. Smog tends to settle down with air pollutants and children inhale these in greater amount. We have seen increase in footfall since Diwali, probably due to worse AQI."" For Reprint Rights: timescontent.com

Load-Date: November 16, 2018",1,Document,"Supreme Court, Dr Arunesh Kumar, Dr. Neetu Talwar",Fire crackers,"People, children",0,"Hospitals, Dr Kajal Kumud",0,Cracker Guidelines,Gurgaon,Warning Tale,Explicit Policy Solution,limitations on cracker bursting,Egalitarian,Angel Shift
'AQI likely to get better after 48 hours',The Times of India (TOI),11-09-2018,PATNA,"PATNA: The state capital witnessed a sharp rise in the air pollution level with a surge in the Air Quality Index (AQI) on Diwali on Wednesday.According to Sameer app of the Central Pollution Control Board (CBPCB), the AQI increased from 373 at 4pm on Wednesday to 420 at 8am on Thursday, which falls under the 'severe' category. It can badly affect healthy people and those with existing diseases.The CPCB stated that Patna's AQI was 334 on the eve of Diwali on Tuesday. The worsening of air quality began on Wednesday with large-scale bursting of firecrackers and other meteorological conditions.Despite the Supreme Court's restrictions on bursting of crackers from 8pm to 10pm this Diwali, the AQI was 373 at 4pm on Wednesday and 388 at 11pm, an hour after the end of the two-hour window.Experts claimed that meteorological factors such as drop in temperature, increase in moisture and decline in wind speed also formed favourable conditions for trapping of pollutants in Patna's air.""The temperature dropped to 17 degrees C at 11pm on Wednesday, while the humidity was 84% that led to an increase in moisture and trapping of pollutants. 
The wind, which was blowing at a speed of 8km per hour on Tuesday became calm. These factors made the dispersal of pollutants more difficult,"" said a duty officer at the Patna Meteorological Centre.He added, ""Meteorological factors played a secondary role in Patna's air pollution on Diwali. The primary role was played by large-scale bursting of firecrackers.""Bihar State Pollution Control Board's senior scientist S N Jaiswal claimed, ""As per our assessment, the concentration of pollutants will take at least 48 hours to disperse."" For Reprint Rights: timescontent.com

Load-Date: November 8, 2018",1,Document,Supreme Court,"firecrackers, meteorological factors",0,0,Central Board of Pollution Control,0,Cracker Guidelines,Patna,Story of Decline,Explicit Policy Solution,limitations on cracker bursting,Fatalist,0
Air pollution level and air quality index in Noida today,The Times of India (TOI),11-03-2018,NOIDA,"NOIDA: The overall Air Quality Index (AQI) of Noida was recorded at 253.7 g/m at 9am on Friday, according to data by the Central Pollution Control Board.There are six AQI categories, namely Good, Satisfactory, Moderately polluted, Poor, Very Poor, and Severe. The proposed AQI will consider eight pollutants (PM10, PM2.5, NO2, SO2, CO, O3, NH3, and Pb) for which short-term (up to 24-hourly averaging period) National Ambient Air Quality Standards are prescribed.An AQI between 0 and 50 is considered ""good"", 51 and 100 ""satisfactory"", 101 and 200 ""moderate"", 201 and 300 ""poor"", 301 and 400 ""very poor"", and 401 and 500 ""severe"".The Sub-indices for individual pollutants at a monitoring location are calculated using its 24-hourly average concentration value (8-hourly in case of CO and O3) and health breakpoint concentration range. The worst sub-index is the AQI for that location. For Reprint Rights: timescontent.com

Load-Date: November 2, 2018",1,Document,0,0,0,0,"Central Pollution Control Board, ""Bihar State Pollution Control Board's senior scientist S N Jaiswal",0,0,Noida,0,Implicit Policy Reference,Status of air pollution given,0,0
Home remedies to beat air pollution: Nutritionist Rujuta Diwekar,The Times of India (TOI),11/13/2018,HEALTH_FITNESS,"According to reports, quality of air has taken a sharp dip after Diwali, resulting in various kinds of diseases including asthma and cardiovascular diseases. Authorities have been constantly warning the residents to stay indoors and avoid going out as much as possible as the pollution levels in the national capital have reached 20 times the recommended levels by WHO. With so many precautions and pieces of advice being freely distributed on the social media, we bring you some simple home remedies by none other than celebrity nutritionist Rujuta Diwekar to ensure that you stay safe. 
Simple home remedies to beat the smog/air pollution: 1. Healthy homemade laddooThere is a reason our dadis and nanis made those delicious laddoos at home; they are really good for health. To make these healthy, bite-sized laddoos, you need sonth, gul and ghee. Take equal amounts of dry ginger, jaggery and ghee as well. Mix all the ingredients well and roll it into small balls. Start having these laddoos every day, preferably one during the morning and one after you have returned home. Homemade ladoos can be especially helpful if you have battled the air pollution the whole day and spent a lot of time outdoors. These laddoos not only prevent inflammation and flu but also help in keeping sinuses clear and aid digestion.2. Sugarcane to the rescueThere are several health benefits of the humble sugarcane. It helps to cleanse and detoxify the liver. Being rich in micronutrients, it also boosts the immune system. Last but not the least, it can also help you beat lethargy and low moods caused by the smog. You can either chew sugar cane and spit the fibre out or drink its fresh juice. The ideal time to have sugarcane is as a mid-meal, before noon. 3. Powerful herbal drinks Heat a glass of milk, add kesar and turmeric (haldi) while it is still boiling. Once it gets boiled, pour it in a cup and add 1 teaspoon of tulsi seeds or soaked sabja. You can also add powdered jaggery as per your taste. The volatile oils from kesar prevent skin and hair damage, while sabja or tulsi seeds are well known for beating infections, allergies and bloating. Turmeric (haldi) and milk is a potent and well-known recovery and anti-inflammatory combination. Apart from these home remedies, there are a few other tips that you should follow to breathe easy and fight this toxic air. 1. Many healthcare experts have strictly warned against jogging and exercising outdoors, but this doesn't mean that you have to give up on exercise altogether. Be smart, just shift it to indoors. 2. Drink plenty of water and other healthy drinks throughout the day to keep yourself well hydrated.3. Vitamin D, Vitamin B12 and carotene supplements are helpful in combating the damaging effects of air pollution. For Reprint Rights: timescontent.com

Load-Date: November 12, 2018",1,Document,celebrity nutritionist Rujuta Diwekar,0,Residents,Residents,0,0,0,National Capital Region,Story of Helplessness and Control,Implicit Policy Reference,Recipes given to combat air pollution,Traditionalist,Mobilization of Support
"Paddy burning in Punjab, Haryana behind rise in west Uttar Pradesh pollution, say experts",The Times of India (TOI),11-01-2018,MEERUT,"MEERUT/AGRA: In the recent air quality monitoring data released by the Central Pollution Control Board, 10 out of 12 most polluted cities of the country are in Uttar Pradesh, most of them western part of the state. While NASA data has revealed that number of crop fires in Punjab-Haryana has shot up dramatically in the past two days, experts here said that paddy straw, stubble burning in many parts of Haryana, Punjab and west UP districts have contributed to rising pollution levels. According to GC Verma, regional officer, Pollution Control Board, Bijnor, ""Since this region borders Haryana and the air blows from west to east, a considerable amount of air pollution gets transferred from neighbouring states to western UP as burning of paddy waste is rampant there.""Besides, the region itself contributes to air pollution since more than 2.6 lakh hectares is under paddy cultivation here. 
According to N Subhash, principal scientist, agriculture meteorology, Sardar Vallabh Bhai Patel Agriculture University, ""Ever since mechanized methods have been employed in the farmlands to segregate straw from the harvested crop, a great amount of collected straw is burned in the fields. Though in west UP, a considerable amount of straw is used for cattle fodder, yet the level of pollution has risen.""On Tuesday, Anita Meshram, division commissioner of Meerut zone which comprises Meerut, Bulandshahr, Hapur, Ghaziabad, Gautam Budh Nagar and Baghpat, held an emergency meeting of the regional officers of pollution control boards and directed them to take stringent measures to curb pollution. ""From November 1 to November 10, all industrial activities including construction work, stone crushing, furnaces using conventional fuels will be shut down. Besides, diesel vehicles older than 10 years and petrol driven ones more than 15 years will be seized. A graded fine system has also been invoked against farmers who burn paddy waste in their fields,"" Meshram told TOI.Another reason that experts attribute to increased pollution in this region is the slow wind speed and substantial decrease in temperature.""This condition is really dangerous for cardiac patients or those on the borderline as during very low temperatures, arterial circulation contracts leading to cardiac arrests especially in the elderly. There is almost 300% rise in emergency departments of hospitals. Besides, when the pollutants enter lungs, they work as irritants that trigger the formation of phlegm in the walls of lungs. Consequently, body is unable to release toxins like carbon dioxide and this leads to drowsiness in acute cases,"" said pulmonologist Dr Veerottam Tomar in Meerut.In Agra, pediatrician Dr Sharad Gupta said children are at a greater risk. ""They are falling victim to various forms of allergies,"" he added. On Tuesday, in the Central Pollution Control Board's Air Quality Index Chart Baghpat was the most polluted city in the country and fell in 'severe' category with 401 index value while Agra was second most polluted one with 354. This is out of 12 most polluted cities in the entire country. For Reprint Rights: timescontent.com

Load-Date: October 31, 2018",1,Document,"division commissioner of Meerut zone Anita Meshram, pulmonologist Dr Veerottam Tomar","Farmers, crop burning",Residents of north India,0,regional pollution control boards,0,0,Meerut,Regulatory Enforcement,Explicit Policy Solution,GRAP implemented,Hierarchist,Concentrating Costs and Diffusing Benefits
Air pollution level and air quality index in Delhi today,The Times of India (TOI),11-06-2018,DELHI,"NEW DELHI: The overall Air Quality Index (AQI) of Delhi was recorded at 553.3 g/m3 at 8am on Monday, according to data by the Central Pollution Control Board.There are six AQI categories, namely Good, Satisfactory, Moderately polluted, Poor, Very Poor, and Severe. The proposed AQI will consider eight pollutants (PM10, PM2.5, NO2, SO2, CO, O3, NH3, and Pb) for which short-term (up to 24-hourly averaging period) National Ambient Air Quality Standards are prescribed.An AQI between 0 and 50 is considered ""good"", 51 and 100 ""satisfactory"", 101 and 200 ""moderate"", 201 and 300 ""poor"", 301 and 400 ""very poor"", and 401 and 500 ""severe"".The Sub-indices for individual pollutants at a monitoring location are calculated using its 24-hourly average concentration value (8-hourly in case of CO and O3) and health breakpoint concentration range. The worst sub-index is the AQI for that location. For Reprint Rights: timescontent.com

Load-Date: November 5, 2018",1,Document,0,0,0,0,"Central Pollution Control Board, ""Bihar State Pollution Control Board's senior scientist S N Jaiswal",0,0,Delhi,0,Implicit Policy Reference,Status of air pollution given,0,0
Severe air quality sparks emergency meet,The Times of India (TOI),12-12-2018,DELHI,"New Delhi: Delhi's air quality remained 'severe' on Tuesday with the overall air quality index (AQI) rising further by the evening due to low wind speed, forcing agencies like the Central Pollution Control Board (CPCB) taskforce to carry out an emergency meeting. Delhi's overall AQI which was classified at 403 (severe) on Monday, had risen to 413 on Tuesday and CPCB has issued directions to corporations and other agencies to carry out a strong drive in pollution hotspots around the capital.Forecasts by IMD show Delhi is likely to have an improvement from Thursday as wind speed increases. However, CPCB said localised action will begin immediately to prevent air quality from deteriorating .""We have received information from IMD that strong winds will start blowing from Thursday and until then we have started drives at all locations in Delhi NCR where air quality is severe. While vigilance will be all around Delhi NCR, special focus will be given to these hotspots where activities may cause a spike in air pollution,"" said a senior CPCB official. For Reprint Rights: timescontent.com

Load-Date: December 11, 2018",1,Document,"Central Pollution Control Board, ""Bihar State Pollution Control Board's senior scientist S N Jaiswal",0,0,0,IMD,0,0,Delhi,Pendulum Swing,Implicit Policy Reference,Status of air pollution given,Hierarchist,Mechanical
Killer rat-hole mines ruin ecology too,The Times of India (TOI),12/24/2018,GUWAHATI,"Almost a week after Sayeb Ali, 21, survived after being trapped in an illegal 'rat-hole' coal mine at Ksan in Meghalaya's East Jaintia Hills, he is constantly hounded by a feeling of guilt - that he helplessly saw his fellow-miners being engulfed by water that flooded the 350-foot-deep mine. Fourteen people are still trapped inside the pit since December 13. They have the slimmest chance of survival even as rescue operations are on. ""I survived, but seeing family members of my friends who couldn't make it causes me pain. Images of my friends who were in the pit hounds me,"" says Sayeb, who earns Rs 2,000 per day in the mines, money which he can never hope to get in any other job. 
The money comes with danger, and there is no health insurance or other cover for a job which poses such hazards to health and life. This is just the latest accident after the National Green Tribunal's ban on rat-hole mining in the state on April 17, 2014. In 2012, at least 15 persons were trapped inside a rat-hole mine in Nangalbibra of South Garo Hills. No one knows what happened to them. Since then, several mine collapses have occurred. Many of the casualties have gone unreported because of the clandestine nature of coal mining. According to activists, in case of accidents involving migrant miners, the people running the operation simply hush things up.Activist Angela Rangad told TOI, ""Heightened criminality has meant such accidents go unreported and local administration and police are not proactive. Perhaps this time it received attention because some of the miners trapped inside were locals."" Even CM Conrad Sangma admitted that after the Ksan disaster, illegal mining was a flourishing business. ""It is difficult to keep a foolproof check on illegal mining, but district administrations have been asked to step up their vigil,"" he said.Meanwhile, criminal elements associated with the illegal mining business have become increasingly aggressive. On November 8, Civil Society Women's Organisation president Agnes Kharshiing and her associate Amita Sangma were injured in an attack by goons at Sohshrieh in East Jaintia Hills district. Agnes and Amita were taking photographs of trucks being loaded with coal from rat-hole mines when they were attacked. An RTI activist, Popynhum Majaw, was murdered in Khliehriat, a coal mining hub, in March this year. ""They left us for dead on the road. The attack cannot silence us,"" Amita said. In Meghalaya, coal mines are privately owned. In the predominantly tribal state, communities own land and have rights over resources. But because of the lucrative returns from coal mining that is also said to be one of the chief revenue sources for the government, community-owned lands are increasingly being privatised and used for non-agricultural activities like coal mining. This has triggered unabated extraction of coal through rat-holes which range between 5 and 100 sq m of vertical pits, branching into networks of horizontal channels, which are at constant risk of caving in or flooding. According to some activists, the process has exploded since the 1970s, at the cost of human lives and the environment. Ministers and MLAs across party lines in the state government are mine owners. The state's politics is enmeshed with the mining issue, which became a pivotal topic during the assembly elections earlier this year. The 2014 ban, during Congress rule, faced stiff resistance from mine owners. BJP and its ally NPP, which eventually won elections, promised to find a solution through ""scientific mining"". The fallout of mining operations can be seen in the environment as well. The 2014 ban by NGT was based on a petition filed by All Dimasa Students' Union after water of Kopili river in Assam allegedly turning acidic due to seepage of chemicals from coal mines in the Jaintia Hills.A water quality report in coal mining areas of the state by a team from North-Eastern Hill University in Shillong pointed out that in Jaintia Hills large scale forest denudation, scarcity of water, pollution of air, water and soil and degradation of agricultural lands ""are some of the conspicuous environmental implications of coal mining"". Full report on ww.toi.in For Reprint Rights: timescontent.com

Load-Date: December 23, 2018",1,Document,"National Green Tribunal, All Dimasa Students' Union, Popynhum Majaw","coal mining companies, Ministers and MLAs",0,0,"Activist Angela Rangad, Civil Society Women's Organisation president Agnes Kharshiing and her associate Amita Sangma, North-Eastern Hill University in Shillong","Mine owners, BJP and its ally NPP",0,Meghalaya's East Jaintia Hills,Conspiracy,Explicit Policy Solution,ban on coal mining,Activist,Mobilization of Support
